d,0_mean,0_std,1_mean,1_std
0,1.0,3.9454614441991676,0.0,0.10405087218600467
1,1.0,3.1556128619589763,0.0,0.1015219188990531
2,1.0,2.99106107399227,0.0,0.1002064996190373
3,1.0,2.5895547113535065,0.0,0.09574233356387739
4,1.0,2.2077945632707467,0.0,0.0896428846440732
5,1.0,1.8984372018933386,0.0,0.08310083605684496
6,1.0,1.5693336259599255,0.0,0.07411745717980928
7,1.0,1.2402300500265129,0.0,0.06216452072421036
8,1.0,0.9177085456117682,0.0,0.045363797351533904
9,1.0,0.6675898279023744,0.0,0.022663745892806383
