d,mean_0,mean_1,std_0,std_1
0,1.0,3.886222800531153,0.0,0.10407148046199059
1,1.0,3.214851505626991,0.0,0.101926305033031
2,1.0,2.9910610739922694,0.0,0.1002064996190373
3,1.0,2.5566443537601646,0.0,0.09529216631121988
4,1.0,2.267033206938761,0.0,0.09072162558600466
5,1.0,1.9708399885986891,0.0,0.08477851203348476
6,1.0,1.7207212708892958,0.0,0.07854924024173017
7,1.0,1.2073196924331715,0.0,0.06074221470008839
8,1.0,0.8387236873877492,0.0,0.03979622991154107
9,1.0,0.6215153272716966,0.0,0.014681118341168623
