d,mean_0,mean_1,std_0,std_1
0,1.0,6.766721157657285,0.0,0.012323758310734073
1,1.0,5.496653535043095,0.0,0.011851487330550877
2,1.0,4.756695899345407,0.0,0.01114622778822131
3,1.0,4.222272658943215,0.0,0.010455645436749568
4,1.0,3.66234350526111,0.0,0.009742549705862552
5,1.0,3.102006034920377,0.0,0.008479373452592738
6,1.0,2.4267881064105232,0.0,0.006904735287696941
7,1.0,1.8171475272288349,0.0,0.004990212588600576
8,1.0,1.1978633558902114,0.0,0.002653054649456933
9,1.0,0.7700890153288341,0.0,0.0006791664236026882
